date,round,home_team,away_team,home_score,away_score,home_odds,away_odds,overtime,home_win,total_points,point_diff
2017-10-01,Pre-season,Golden State Warriors,Denver Nuggets,102,108,1.27,3.97,False,False,210,-6
2017-10-01,Pre-season,Los Angeles Lakers,Minnesota Timberwolves,99,108,2.57,1.55,False,False,207,-9
2017-10-02,Pre-season,Toronto Raptors,Los Angeles Clippers,121,113,1.82,2.05,False,True,234,8
2017-10-02,Pre-season,Miami Heat,Atlanta Hawks,96,90,1.36,3.33,False,True,186,6
2017-10-03,Pre-season,Memphis Grizzlies,Orlando Magic,92,84,1.81,2.01,False,True,176,8
2017-10-03,Pre-season,Los Angeles Lakers,Denver Nuggets,107,113,2.48,1.56,False,False,220,-6
2017-10-03,Pre-season,Boston Celtics,Charlotte Hornets,94,82,1.31,3.51,False,True,176,12
2017-10-03,Pre-season,Dallas Mavericks,Milwaukee Bucks,106,104,1.49,2.66,False,True,210,2
2017-10-03,Pre-season,Sacramento Kings,San Antonio Spurs,106,100,2.02,1.81,False,True,206,6
2017-10-04,Pre-season,Oklahoma City Thunder,Houston Rockets,97,104,3.07,1.38,False,False,201,-7
2017-10-04,Pre-season,Los Angeles Clippers,Toronto Raptors,98,84,2.04,1.78,False,True,182,14
2017-10-04,Pre-season,New York Knicks,Brooklyn Nets,107,115,1.59,2.41,False,False,222,-8
2017-10-04,Pre-season,New Orleans Pelicans,Chicago Bulls,109,113,1.31,3.52,False,False,222,-4
2017-10-04,Pre-season,Portland Trail Blazers,Phoenix Suns,112,114,1.39,3.03,False,False,226,-2
2017-10-05,Pre-season,Philadelphia 76ers,Memphis Grizzlies,89,110,1.31,3.5,False,False,199,-21
2017-10-05,Pre-season,Detroit Pistons,Charlotte Hornets,106,108,1.65,2.27,False,False,214,-2
2017-10-05,Pre-season,Cleveland Cavaliers,Atlanta Hawks,93,109,1.29,3.63,False,False,202,-16
2017-10-05,Pre-season,Milwaukee Bucks,Indiana Pacers,86,104,1.57,2.44,False,False,190,-18
2017-10-05,Pre-season,Dallas Mavericks,Chicago Bulls,118,71,1.45,2.79,False,True,189,47
2017-10-05,Pre-season,Los Angeles Lakers,Denver Nuggets,104,122,1.87,1.93,False,False,226,-18
2017-10-05,Pre-season,Golden State Warriors,Minnesota Timberwolves,95,111,1.41,2.96,False,False,206,-16
2017-10-06,Pre-season,Orlando Magic,Dallas Mavericks,112,89,1.42,2.92,False,True,201,23
2017-10-06,Pre-season,Brooklyn Nets,Miami Heat,107,88,1.82,2.01,False,True,195,19
2017-10-06,Pre-season,Portland Trail Blazers,Toronto Raptors,106,101,1.6,2.39,False,True,207,5
2017-10-07,Pre-season,Chicago Bulls,Milwaukee Bucks,114,101,1.97,1.85,False,True,215,13
2017-10-07,Pre-season,Oklahoma City Thunder,New Orleans Pelicans,102,91,1.42,2.91,False,True,193,11
2017-10-07,Pre-season,Utah Jazz,Phoenix Suns,112,101,1.52,2.57,False,True,213,11
2017-10-07,Pre-season,Detroit Pistons,Atlanta Hawks,109,87,1.48,2.68,False,True,196,22
2017-10-07,Pre-season,Cleveland Cavaliers,Indiana Pacers,102,106,1.53,2.57,False,False,208,-4
2017-10-07,Pre-season,Washington Wizards,New York Knicks,104,100,1.35,3.26,False,True,204,4
2017-10-07,Pre-season,San Antonio Spurs,Sacramento Kings,113,93,1.42,2.9,False,True,206,20
2017-10-07,Pre-season,Philadelphia 76ers,Boston Celtics,102,110,2.59,1.51,False,False,212,-8
2017-10-08,Pre-season,Orlando Magic,Miami Heat,93,90,1.76,2.12,False,True,183,3
2017-10-08,Pre-season,Minnesota Timberwolves,Golden State Warriors,110,142,2.88,1.42,False,False,252,-32
2017-10-09,Pre-season,Brooklyn Nets,New York Knicks,117,83,1.63,2.38,False,True,200,34
2017-10-09,Pre-season,Chicago Bulls,New Orleans Pelicans,95,108,2.48,1.58,False,False,203,-13
2017-10-09,Pre-season,Los Angeles Lakers,Sacramento Kings,75,69,2.09,1.79,False,True,144,6
2017-10-09,Pre-season,Los Angeles Clippers,Portland Trail Blazers,106,134,1.7,2.22,False,False,240,-28
2017-10-09,Pre-season,Washington Wizards,Cleveland Cavaliers,102,95,1.36,3.33,False,True,197,7
2017-10-09,Pre-season,San Antonio Spurs,Denver Nuggets,122,100,1.99,1.86,False,True,222,22
2017-10-10,Pre-season,Detroit Pistons,Indiana Pacers,107,97,1.4,3.03,False,True,204,10
2017-10-10,Pre-season,Miami Heat,Charlotte Hornets,109,106,1.53,2.56,False,True,215,3
2017-10-10,Pre-season,Boston Celtics,Philadelphia 76ers,113,96,1.51,2.6,False,True,209,17
2017-10-10,Pre-season,Atlanta Hawks,Memphis Grizzlies,99,88,2.06,1.76,False,True,187,11
2017-10-10,Pre-season,Dallas Mavericks,Orlando Magic,99,96,1.38,3.03,False,True,195,3
2017-10-10,Pre-season,Sacramento Kings,Portland Trail Blazers,83,97,3.08,1.37,False,False,180,-14
2017-10-10,Pre-season,Phoenix Suns,Utah Jazz,102,120,1.49,2.66,False,False,222,-18
2017-10-10,Pre-season,New York Knicks,Houston Rockets,95,117,3.8,1.26,False,False,212,-22
2017-10-11,Pre-season,Denver Nuggets,Oklahoma City Thunder,86,96,1.64,2.28,False,False,182,-10
2017-10-11,Pre-season,Los Angeles Lakers,Utah Jazz,99,105,2.01,1.81,False,False,204,-6
2017-10-11,Pre-season,San Antonio Spurs,Orlando Magic,98,103,1.2,4.59,False,False,201,-5
2017-10-11,Pre-season,Toronto Raptors,Detroit Pistons,116,94,1.4,3.01,False,True,210,22
2017-10-11,Pre-season,Cleveland Cavaliers,Chicago Bulls,94,108,1.23,4.22,False,False,202,-14
2017-10-12,Pre-season,Miami Heat,Washington Wizards,117,115,1.92,1.93,False,True,232,2
2017-10-12,Pre-season,Phoenix Suns,Portland Trail Blazers,104,113,3.46,1.32,False,False,217,-9
2017-10-12,Pre-season,Charlotte Hornets,Boston Celtics,100,108,3.68,1.3,False,False,208,-8
2017-10-12,Pre-season,Brooklyn Nets,Philadelphia 76ers,114,133,1.41,3.03,False,False,247,-19
2017-10-12,Pre-season,Memphis Grizzlies,Houston Rockets,89,101,3.5,1.31,False,False,190,-12
2017-10-13,Pre-season,Atlanta Hawks,Dallas Mavericks,94,108,1.42,3.01,False,False,202,-14
2017-10-13,Pre-season,Los Angeles Clippers,Sacramento Kings,104,87,1.42,3.02,False,True,191,17
2017-10-14,Pre-season,Charlotte Hornets,Dallas Mavericks,111,96,1.32,3.45,False,True,207,15
2017-10-14,Pre-season,Orlando Magic,Cleveland Cavaliers,106,113,2.15,1.7,False,False,219,-7
2017-10-14,Pre-season,Golden State Warriors,Sacramento Kings,117,106,1.14,5.84,False,True,223,11
2017-10-14,Pre-season,Memphis Grizzlies,New Orleans Pelicans,142,101,1.56,2.47,False,True,243,41
2017-10-14,Pre-season,Houston Rockets,San Antonio Spurs,97,106,1.33,3.41,False,False,203,-9
2017-10-14,Pre-season,Chicago Bulls,Toronto Raptors,104,125,3.32,1.34,False,False,229,-21
2017-10-14,Pre-season,Philadelphia 76ers,Miami Heat,119,95,1.58,2.44,False,True,214,24
2017-10-14,Pre-season,Milwaukee Bucks,Detroit Pistons,107,103,1.52,2.6,False,True,210,4
2017-10-14,Pre-season,Los Angeles Clippers,Los Angeles Lakers,104,111,2.83,1.43,False,False,215,-7
2017-10-14,Pre-season,New York Knicks,Washington Wizards,103,110,3.1,1.37,False,False,213,-7
2017-10-18,,Golden State Warriors,Houston Rockets,121,122,1.22,4.55,False,False,243,-1
2017-10-18,,Cleveland Cavaliers,Boston Celtics,102,99,1.54,2.6,False,True,201,3
2017-10-19,,Sacramento Kings,Houston Rockets,100,105,3.36,1.35,False,False,205,-5
2017-10-19,,San Antonio Spurs,Minnesota Timberwolves,107,99,1.86,1.99,False,True,206,8
2017-10-19,,Utah Jazz,Denver Nuggets,106,96,1.74,2.16,False,True,202,10
2017-10-19,,Dallas Mavericks,Atlanta Hawks,111,117,1.46,2.8,False,False,228,-6
2017-10-19,,Phoenix Suns,Portland Trail Blazers,76,124,2.1,1.78,False,False,200,-48
2017-10-19,,Boston Celtics,Milwaukee Bucks,100,108,1.77,2.11,False,False,208,-8
2017-10-19,,Indiana Pacers,Brooklyn Nets,140,131,1.66,2.28,False,True,271,9
2017-10-19,,Detroit Pistons,Charlotte Hornets,102,90,1.68,2.26,False,True,192,12
2017-10-19,,Orlando Magic,Miami Heat,116,109,2.43,1.6,False,True,225,7
2017-10-19,,Memphis Grizzlies,New Orleans Pelicans,103,91,1.79,2.08,False,True,194,12
2017-10-19,,Washington Wizards,Philadelphia 76ers,120,115,1.36,3.29,False,True,235,5
2017-10-20,,Toronto Raptors,Chicago Bulls,117,100,1.09,8.62,False,True,217,17
2017-10-20,,Oklahoma City Thunder,New York Knicks,105,84,1.12,7.09,False,True,189,21
2017-10-20,,Los Angeles Lakers,Los Angeles Clippers,92,108,3.08,1.4,False,False,200,-16
2017-10-21,,Minnesota Timberwolves,Utah Jazz,100,97,1.54,2.57,False,True,197,3
2017-10-21,,Phoenix Suns,Los Angeles Lakers,130,132,1.61,2.39,False,False,262,-2
2017-10-21,,New Orleans Pelicans,Golden State Warriors,120,128,4.5,1.22,False,False,248,-8
2017-10-21,,Dallas Mavericks,Sacramento Kings,88,93,1.46,2.84,False,False,181,-5
2017-10-21,,Brooklyn Nets,Orlando Magic,126,121,1.76,2.13,False,True,247,5
2017-10-21,,Philadelphia 76ers,Boston Celtics,92,102,1.67,2.26,False,False,194,-10
2017-10-21,,Indiana Pacers,Portland Trail Blazers,96,114,2.79,1.47,False,False,210,-18
2017-10-21,,Charlotte Hornets,Atlanta Hawks,109,91,1.54,2.6,False,True,200,18
2017-10-21,,Milwaukee Bucks,Cleveland Cavaliers,97,116,1.92,1.93,False,False,213,-19
2017-10-21,,Washington Wizards,Detroit Pistons,115,111,1.37,3.22,False,True,226,4
2017-10-22,,Los Angeles Clippers,Phoenix Suns,130,88,1.08,8.97,False,True,218,42
2017-10-22,,Denver Nuggets,Sacramento Kings,96,79,1.12,6.84,False,True,175,17
2017-10-22,,Milwaukee Bucks,Portland Trail Blazers,113,110,1.66,2.3,False,True,223,3
2017-10-22,,Chicago Bulls,San Antonio Spurs,77,87,5.48,1.17,False,False,164,-10
2017-10-22,,Utah Jazz,Oklahoma City Thunder,96,87,2.63,1.51,False,True,183,9
2017-10-22,,Houston Rockets,Dallas Mavericks,107,91,1.14,6.37,False,True,198,16
2017-10-22,,New York Knicks,Detroit Pistons,107,111,2.05,1.81,False,False,218,-4
2017-10-22,,Memphis Grizzlies,Golden State Warriors,111,101,4.07,1.26,False,True,212,10
2017-10-22,,Miami Heat,Indiana Pacers,112,108,1.21,4.66,False,True,220,4
2017-10-22,,Toronto Raptors,Philadelphia 76ers,128,94,1.23,4.36,False,True,222,34
2017-10-22,,Cleveland Cavaliers,Orlando Magic,93,114,1.12,7.15,False,False,207,-21
2017-10-23,,Brooklyn Nets,Atlanta Hawks,116,104,1.83,2.01,False,True,220,12
2017-10-23,,Oklahoma City Thunder,Minnesota Timberwolves,113,115,1.56,2.54,False,False,228,-2
2017-10-23,,Los Angeles Lakers,New Orleans Pelicans,112,119,2.68,1.49,False,False,231,-7
