date,round,home_team,away_team,home_score,away_score,home_odds,away_odds,overtime,home_win,total_points,point_diff,is_allstar
2018-09-29,Pre-season,Charlotte Hornets,Boston Celtics,104,97,2.83,1.42,False,True,201,7,False
2018-09-30,Pre-season,Toronto Raptors,Portland Trail Blazers,122,104,1.41,2.91,False,True,226,18,False
2018-09-30,Pre-season,Golden State Warriors,Minnesota Timberwolves,110,114,1.41,2.92,False,False,224,-4,False
2018-10-01,Pre-season,Los Angeles Lakers,Denver Nuggets,107,124,1.48,2.62,False,False,231,-17,False
2018-10-01,Pre-season,San Antonio Spurs,Miami Heat,104,100,1.5,2.6,False,True,204,4,False
2018-10-01,Pre-season,Boston Celtics,Charlotte Hornets,115,112,1.42,2.86,False,True,227,3,False
2018-10-01,Pre-season,Chicago Bulls,New Orleans Pelicans,128,116,2.29,1.63,False,True,244,12,False
2018-10-02,Pre-season,Washington Wizards,New York Knicks,121,124,1.37,3.14,True,False,245,-3,False
2018-10-02,Pre-season,Phoenix Suns,Sacramento Kings,102,106,1.72,2.11,False,False,208,-4,False
2018-10-02,Pre-season,Philadelphia 76ers,Orlando Magic,120,114,1.42,2.92,False,True,234,6,False
2018-10-02,Pre-season,Atlanta Hawks,New Orleans Pelicans,116,102,2.01,1.81,False,True,218,14,False
2018-10-03,Pre-season,Charlotte Hornets,Miami Heat,122,113,1.75,2.07,False,True,235,9,False
2018-10-03,Pre-season,Houston Rockets,Memphis Grizzlies,131,115,1.37,3.07,False,True,246,16,False
2018-10-03,Pre-season,Boston Celtics,Cleveland Cavaliers,95,102,1.31,3.42,False,False,197,-7,False
2018-10-03,Pre-season,Utah Jazz,Toronto Raptors,105,90,1.67,2.19,False,True,195,15,False
2018-10-03,Pre-season,Los Angeles Lakers,Denver Nuggets,111,113,1.81,1.99,False,False,224,-2,False
2018-10-04,Pre-season,Brooklyn Nets,New York Knicks,102,107,1.55,2.47,False,False,209,-5,False
2018-10-04,Pre-season,Milwaukee Bucks,Chicago Bulls,116,82,1.45,2.74,False,True,198,34,False
2018-10-04,Pre-season,Los Angeles Clippers,Minnesota Timberwolves,128,101,2.06,1.75,False,True,229,27,False
2018-10-04,Pre-season,Oklahoma City Thunder,Detroit Pistons,91,97,1.73,2.12,False,False,188,-6,False
2018-10-05,Pre-season,Houston Rockets,Indiana Pacers,100,110,1.41,2.86,False,False,210,-10,False
2018-10-05,Pre-season,Los Angeles Lakers,Sacramento Kings,128,123,1.42,2.83,False,True,251,5,False
2018-10-05,Pre-season,Philadelphia 76ers,Dallas Mavericks,120,114,1.38,2.99,False,True,234,6,False
2018-10-06,Pre-season,San Antonio Spurs,Detroit Pistons,117,93,1.47,2.64,False,True,210,24,False
2018-10-06,Pre-season,Golden State Warriors,Sacramento Kings,122,94,1.34,3.2,False,True,216,28,False
2018-10-06,Pre-season,Phoenix Suns,Portland Trail Blazers,93,115,2.52,1.51,False,False,208,-22,False
2018-10-06,Pre-season,Memphis Grizzlies,Atlanta Hawks,120,110,1.56,2.41,False,True,230,10,False
2018-10-06,Pre-season,New York Knicks,New Orleans Pelicans,106,100,2.2,1.66,False,True,206,6,False
2018-10-06,Pre-season,Minnesota Timberwolves,Oklahoma City Thunder,101,113,1.62,2.28,False,False,214,-12,False
2018-10-06,Pre-season,Washington Wizards,Miami Heat,121,114,1.58,2.37,False,True,235,7,False
2018-10-07,Pre-season,Cleveland Cavaliers,Boston Celtics,113,102,3.29,1.32,False,True,215,11,False
2018-10-07,Pre-season,Memphis Grizzlies,Indiana Pacers,109,104,2.0,1.78,True,True,213,5,False
2018-10-07,Pre-season,Los Angeles Lakers,Los Angeles Clippers,87,103,1.62,2.28,False,False,190,-16,False
2018-10-08,Pre-season,Oklahoma City Thunder,Atlanta Hawks,113,94,1.4,2.96,False,True,207,19,False
2018-10-08,Pre-season,San Antonio Spurs,Houston Rockets,93,108,1.82,1.98,False,False,201,-15,False
2018-10-08,Pre-season,Minnesota Timberwolves,Milwaukee Bucks,107,125,2.24,1.63,False,False,232,-18,False
2018-10-08,Pre-season,Philadelphia 76ers,Dallas Mavericks,112,115,1.48,2.62,False,False,227,-3,False
2018-10-08,Pre-season,Portland Trail Blazers,Utah Jazz,112,123,2.28,1.61,False,False,235,-11,False
2018-10-09,Pre-season,Golden State Warriors,Phoenix Suns,109,117,1.24,3.93,False,False,226,-8,False
2018-10-09,Pre-season,Cleveland Cavaliers,Indiana Pacers,102,111,2.41,1.56,False,False,213,-9,False
2018-10-09,Pre-season,Charlotte Hornets,Chicago Bulls,110,104,1.45,2.73,False,True,214,6,False
2018-10-09,Pre-season,Detroit Pistons,Brooklyn Nets,108,110,1.41,2.9,True,False,218,-2,False
2018-10-09,Pre-season,New York Knicks,Washington Wizards,98,110,2.27,1.64,False,False,208,-12,False
2018-10-09,Pre-season,Miami Heat,Orlando Magic,90,89,1.52,2.54,False,True,179,1,False
2018-10-10,Pre-season,Los Angeles Clippers,Denver Nuggets,109,103,1.92,1.86,False,True,212,6,False
2018-10-10,Pre-season,Oklahoma City Thunder,Milwaukee Bucks,119,115,1.37,3.07,True,True,234,4,False
2018-10-11,Pre-season,Orlando Magic,Memphis Grizzlies,102,86,1.66,2.23,False,True,188,16,False
2018-10-11,Pre-season,Detroit Pistons,Washington Wizards,97,102,1.82,1.98,False,False,199,-5,False
2018-10-11,Pre-season,Toronto Raptors,Brooklyn Nets,118,91,1.29,3.62,False,True,209,27,False
2018-10-11,Pre-season,Miami Heat,New Orleans Pelicans,140,128,1.58,2.4,False,True,268,12,False
2018-10-11,Pre-season,Atlanta Hawks,San Antonio Spurs,130,127,2.22,1.67,False,True,257,3,False
2018-10-11,Pre-season,Chicago Bulls,Indiana Pacers,104,89,2.58,1.5,False,True,193,15,False
2018-10-11,Pre-season,Portland Trail Blazers,Phoenix Suns,116,83,1.57,2.4,False,True,199,33,False
2018-10-11,Pre-season,Los Angeles Lakers,Golden State Warriors,123,113,2.4,1.55,False,True,236,10,False
2018-10-12,Pre-season,New Orleans Pelicans,Toronto Raptors,119,134,1.3,3.53,False,False,253,-15,False
2018-10-12,Pre-season,Sacramento Kings,Utah Jazz,93,132,2.55,1.5,False,False,225,-39,False
2018-10-13,Pre-season,Portland Trail Blazers,Sacramento Kings,118,115,1.29,3.5,False,True,233,3,False
2018-10-13,Pre-season,Milwaukee Bucks,Minnesota Timberwolves,143,121,1.39,2.94,False,True,264,22,False
2018-10-13,Pre-season,Miami Heat,Atlanta Hawks,119,113,1.49,2.6,False,True,232,6,False
2018-10-13,Pre-season,Chicago Bulls,Denver Nuggets,93,98,2.61,1.49,False,False,191,-5,False
2018-10-13,Pre-season,Golden State Warriors,Los Angeles Lakers,105,119,1.2,4.4,False,False,224,-14,False
2018-10-13,Pre-season,New York Knicks,Brooklyn Nets,107,113,1.74,2.07,False,False,220,-6,False
2018-10-13,Pre-season,Dallas Mavericks,Charlotte Hornets,118,123,2.24,1.64,False,False,241,-5,False
2018-10-13,Pre-season,Cleveland Cavaliers,Detroit Pistons,110,129,2.23,1.63,False,False,239,-19,False
2018-10-13,Pre-season,Orlando Magic,San Antonio Spurs,81,100,1.91,1.87,False,False,181,-19,False
2018-10-13,Pre-season,Memphis Grizzlies,Houston Rockets,103,121,2.56,1.49,False,False,224,-18,False
2018-10-17,,Boston Celtics,Philadelphia 76ers,105,87,1.45,2.77,False,True,192,18,False
2018-10-17,,Golden State Warriors,Oklahoma City Thunder,108,100,1.09,8.35,False,True,208,8,False
2018-10-18,,Phoenix Suns,Dallas Mavericks,121,100,2.19,1.71,False,True,221,21,False
2018-10-18,,Los Angeles Clippers,Denver Nuggets,98,107,2.14,1.74,False,False,205,-9,False
2018-10-18,,Sacramento Kings,Utah Jazz,117,123,4.15,1.25,False,False,240,-6,False
2018-10-18,,San Antonio Spurs,Minnesota Timberwolves,112,108,1.68,2.23,False,True,220,4,False
2018-10-18,,Houston Rockets,New Orleans Pelicans,112,131,1.27,3.83,False,False,243,-19,False
2018-10-18,,New York Knicks,Atlanta Hawks,126,107,1.6,2.4,False,True,233,19,False
2018-10-18,,Detroit Pistons,Brooklyn Nets,103,100,1.39,3.07,False,True,203,3,False
2018-10-18,,Charlotte Hornets,Milwaukee Bucks,112,113,2.38,1.6,False,False,225,-1,False
2018-10-18,,Indiana Pacers,Memphis Grizzlies,111,83,1.32,3.47,False,True,194,28,False
2018-10-18,,Orlando Magic,Miami Heat,104,101,2.13,1.74,False,True,205,3,False
2018-10-18,,Toronto Raptors,Cleveland Cavaliers,116,104,1.08,8.79,False,True,220,12,False
2018-10-19,,Philadelphia 76ers,Chicago Bulls,127,108,1.09,7.79,False,True,235,19,False
2018-10-19,,Washington Wizards,Miami Heat,112,113,1.39,3.05,False,False,225,-1,False
2018-10-19,,Portland Trail Blazers,Los Angeles Lakers,128,119,1.66,2.28,False,True,247,9,False
2018-10-20,,Los Angeles Clippers,Oklahoma City Thunder,108,92,1.67,2.26,False,True,200,16,False
2018-10-20,,Utah Jazz,Golden State Warriors,123,124,2.18,1.71,False,False,247,-1,False
2018-10-20,,Memphis Grizzlies,Atlanta Hawks,131,117,1.34,3.36,False,True,248,14,False
2018-10-20,,Milwaukee Bucks,Indiana Pacers,118,101,1.57,2.47,False,True,219,17,False
